Experiment	Measurement	Replication	Module	Name	Mean	
WaicHighDensity	$numHosts=30	#4	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6496126764668668	
WaicHighDensity	$numHosts=30	#3	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6431709722742825	
WaicHighDensity	$numHosts=30	#6	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6712161874285005	
WaicHighDensity	$numHosts=30	#8	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6830887755384453	
WaicHighDensity	$numHosts=30	#2	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6303215107851101	
WaicHighDensity	$numHosts=30	#7	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.74979029873274	
WaicHighDensity	$numHosts=30	#5	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6399616627619464	
WaicHighDensity	$numHosts=30	#9	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7028574420222043	
WaicHighDensity	$numHosts=30	#1	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.6786418715279653	
WaicHighDensity	$numHosts=30	#0	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7507783264160794	
WaicHighDensity	$numHosts=60	#4	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.771592649343992	
WaicHighDensity	$numHosts=60	#8	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.8061079322016129	
WaicHighDensity	$numHosts=60	#0	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.8165293723415681	
WaicHighDensity	$numHosts=60	#1	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7310382012796237	
WaicHighDensity	$numHosts=60	#9	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7548340273892866	
WaicHighDensity	$numHosts=60	#3	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7683272047185691	
WaicHighDensity	$numHosts=60	#7	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7869870099527274	
WaicHighDensity	$numHosts=60	#5	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7822370611825303	
WaicHighDensity	$numHosts=60	#2	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.8373976307875589	
WaicHighDensity	$numHosts=60	#6	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7412387539083047	
IsmHighDensity	$numHosts=30	#2	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5675565410885919	
IsmHighDensity	$numHosts=30	#8	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5747709043150762	
IsmHighDensity	$numHosts=30	#3	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5689324856449199	
IsmHighDensity	$numHosts=30	#4	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5680547939605777	
IsmHighDensity	$numHosts=30	#9	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.58244940442882	
IsmHighDensity	$numHosts=30	#0	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5698418756461944	
IsmHighDensity	$numHosts=30	#6	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5750817292999982	
IsmHighDensity	$numHosts=30	#5	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5809752943543227	
IsmHighDensity	$numHosts=30	#1	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5643158435920708	
IsmHighDensity	$numHosts=30	#7	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5781527530364988	
IsmHighDensity	$numHosts=60	#9	HighDensity.sink[0].app[0]	endToEndDelay:vector	21.246531999959817	
IsmHighDensity	$numHosts=60	#5	HighDensity.sink[0].app[0]	endToEndDelay:vector	8.367095244707636	
IsmHighDensity	$numHosts=60	#0	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7507749442784583	
IsmHighDensity	$numHosts=60	#3	HighDensity.sink[0].app[0]	endToEndDelay:vector	6.244123054158207	
IsmHighDensity	$numHosts=60	#4	HighDensity.sink[0].app[0]	endToEndDelay:vector	1.5409890752824293	
IsmHighDensity	$numHosts=60	#8	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.7314494798054452	
IsmHighDensity	$numHosts=60	#6	HighDensity.sink[0].app[0]	endToEndDelay:vector	0.5908484955342133	
IsmHighDensity	$numHosts=60	#2	HighDensity.sink[0].app[0]	endToEndDelay:vector	2.1608927234382582	
IsmHighDensity	$numHosts=60	#7	HighDensity.sink[0].app[0]	endToEndDelay:vector	1.1598823618782585	
IsmHighDensity	$numHosts=60	#1	HighDensity.sink[0].app[0]	endToEndDelay:vector	2.197477634195265	

